,0,1,2,3,4,5,6,7
dt,2024-09-05 13:00:00,2024-09-06 13:00:00,2024-09-07 13:00:00,2024-09-08 13:00:00,2024-09-09 13:00:00,2024-09-10 13:00:00,2024-09-11 13:00:00,2024-09-12 13:00:00
sunrise,2024-09-05 07:13:35,2024-09-06 07:14:59,2024-09-07 07:16:24,2024-09-08 07:17:48,2024-09-09 07:19:13,2024-09-10 07:20:37,2024-09-11 07:22:01,2024-09-12 07:23:25
sunset,2024-09-05 20:25:15,2024-09-06 20:23:09,2024-09-07 20:21:03,2024-09-08 20:18:56,2024-09-09 20:16:49,2024-09-10 20:14:42,2024-09-11 20:12:34,2024-09-12 20:10:27
moonrise,2024-09-05 09:34:00,2024-09-06 10:40:00,2024-09-07 11:49:00,2024-09-08 12:59:00,2024-09-09 14:11:00,2024-09-10 15:23:00,2024-09-11 16:30:00,2024-09-12 17:29:00
moonset,2024-09-05 21:09:00,2024-09-06 21:22:00,2024-09-07 21:37:00,2024-09-08 21:55:00,2024-09-09 22:18:00,2024-09-10 22:51:00,2024-09-11 23:37:00,1970-01-01 01:00:00
moon_phase,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29
pressure,1009,1011,1008,1008,1010,1016,1011,1018
humidity,93,49,44,71,70,44,81,38
dew_point,13.92,10.57,12.27,13.23,13.78,7.73,14.08,2.37
wind_speed,4.41,3.63,5.97,6.96,5.52,3.85,5.08,5.63
wind_deg,286,121,246,186,223,254,231,324
wind_gust,10.31,10.21,11.52,13.86,11.99,8.3,11.83,10.22
pop,1,0,1,1,1,0,1,1
rain,37.37,,6.69,5.13,8.06,,14.46,1.17
uvi,1.31,4.85,4.58,1.9,4.15,4.65,5.0,5.0
